EBM-Ziffer;EBM_Bezeichnung;Punktzahl;EBM_Betrag;Waehrung;Zusatzkennzeichen;gueltigab;gueltigbis;geaendert
"01100";"Unvorhergesehene Inanspruchnahme I";"196";"0";"";"";"20131001";"99991231";"20131001"
"01101";"Unvorhergesehene Inanspruchnahme II";"313";"0";"";"";"20131001";"99991231";"20131001"
"01102";"Inanspruchnahme an Samstagen";"101";"0";"";"";"20131001";"99991231";"20131001"
"01205";"Notfallpauschale (Abklärung, Koordination I)";"45";"0";"EUR";"";"20170401";"99991231";"20170209"
"01207";"Notfallpauschale (Abklärung, Koordination II)";"80";"0";"EUR";"";"20170401";"99991231";"20170209"
"01210";"Notfallpauschale";"127";"0";"";"";"20131001";"20170331";"20131001"
"01210";"Notfallpauschale";"120";"0";"";"";"20170401";"99991231";"20170209"
"01211";"Zusatzpauschale Besuchsbereitschaft";"99";"0";"";"";"20131001";"20141231";"20131001"
"01212";"Notfallpauschale";"195";"0";"EUR";"";"20131001";"99991231";"20131001"
"01214";"Notfallkonsultationspauschale I";"50";"0";"";"";"20131001";"99991231";"20131001"
"01215";"Zusatzpauschale zu der Gebührenordnungsposition 01214";"19";"0";"";"";"20131001";"20141231";"20131001"
"01216";"Notfallkonsultationspauschale II";"140";"0";"";"";"20131001";"99991231";"20131001"
"01217";"Zusatzpauschale zu der Gebührenordnungsposition 01216";"80";"0";"";"";"20131001";"20141231";"20131001"
"01218";"Notfallkonsultationspauschale III";"170";"0";"";"";"20131001";"99991231";"20131001"
"01219";"Zusatzpauschale zu der Gebührenordnungsposition 01218";"99";"0";"";"";"20131001";"20141231";"20131001"
"01220";"Reanimationskomplex";"1027";"0";"";"";"20131001";"99991231";"20131001"
"01221";"Zuschlag Beatmung";"203";"0";"";"";"20131001";"99991231";"20131001"
"01222";"Zuschlag Defibrillation";"288";"0";"";"";"20131001";"99991231";"20131001"
"01223";"Zuschlag Notfallpauschale zur GOP 01210";"128";"0";"EUR";"";"20170401";"99991231";"20170209"
"01224";"Zuschlag Notfallpauschale zur GOP 01212";"195";"0";"EUR";"";"20170401";"99991231";"20170209"
"01226";"Zuschlag Notfallpauschale zur GOP 01212";"90";"0";"EUR";"";"20170401";"99991231";"20170209"
"01320";"Grundpauschale I für ermächtigte Ärzte, Institute und Krankenhäuser";"92";"0";"";"";"20131001";"99991231";"20131001"
"01321";"Grundpauschale II für ermächtigte Ärzte, Institute und Krankenhäuser";"159";"0";"";"";"20131001";"99991231";"20131001"
"01322";"Zuschlag TSS-Terminvermittlung";"";"0";"";"";"20200101";"99991231";"20200220"
"01323";"Zuschlag TSS-Terminvermittlung";"";"0";"";"";"20200101";"99991231";"20200220"
"01410";"Besuch";"212";"0";"";"";"20131001";"99991231";"20131001"
"01411";"Dringender Besuch I";"469";"0";"";"";"20131001";"99991231";"20131001"
"01412";"Dringender Besuch II";"626";"0";"";"";"20131001";"99991231";"20131001"
"01413";"Besuch eines weiteren Kranken";"106";"0";"";"";"20131001";"99991231";"20131001"
"01414";"Visite auf der Belegstation, je Patient";"87";"0";"";"";"20131001";"99991231";"20131001"
"01415";"Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal";"546";"0";"";"";"20080101";"99991231";"20190219"
"01416";"Begleitung eines Kranken durch den behandelnden Arzt beim Transport";"90";"0";"";"";"20131001";"20200331";"20200518"
"01416";"Begleitung eines Kranken durch den behandelnden Arzt beim Transport";"117";"0";"";"";"20200401";"99991231";"20200518"
"01418";"Besuch im organisierten Not(-fall)dienst";"778";"0";"EUR";"";"20131001";"99991231";"20131001"
"01420";"Prüfung der Notwendigkeit und Koordination der häuslichen Krankenpflege";"94";"0";"";"";"20131001";"99991231";"20131001"
