code;description;kind;parent;terminal
I;Bestimmte infektiöse und parasitäre Krankheiten;chapter;;N
A00-A09;Infektiöse Darmkrankheiten;block;I;N
A00;Cholera;category;A00-A09;N
A00.0;Cholera durch Vibrio cholerae O:1, Biovar cholerae;category;A00;Y
A00.1;Cholera durch Vibrio cholerae O:1, Biovar eltor;category;A00;Y
A00.9;Cholera, nicht näher bezeichnet;category;A00;Y
A01;Typhus abdominalis und Paratyphus;category;A00-A09;N
A01.0;Typhus abdominalis;category;A01;Y
A01.1;Paratyphus A;category;A01;Y
A01.2;Paratyphus B;category;A01;Y
A01.3;Paratyphus C;category;A01;Y
A01.4;Paratyphus, nicht näher bezeichnet;category;A01;Y
A02;Sonstige Salmonelleninfektionen;category;A00-A09;N
A02.0;Salmonellenenteritis;category;A02;Y
A02.1;Salmonellensepsis;category;A02;Y
A02.2;Lokalisierte Salmonelleninfektionen;category;A02;Y
A02.8;Sonstige näher bezeichnete Salmonelleninfektionen;category;A02;Y
A02.9;Salmonelleninfektion, nicht näher bezeichnet;category;A02;Y
A03;Shigellose [Bakterielle Ruhr];category;A00-A09;N
A03.0;Shigellose durch Shigella dysenteriae;category;A03;Y
A03.1;Shigellose durch Shigella flexneri;category;A03;Y
A03.2;Shigellose durch Shigella boydii;category;A03;Y
A03.3;Shigellose durch Shigella sonnei;category;A03;Y
A03.8;Sonstige Shigellosen;category;A03;Y
A03.9;Shigellose, nicht näher bezeichnet;category;A03;Y
A04;Sonstige bakterielle Darminfektionen;category;A00-A09;N
A04.0;Darminfektion durch enteropathogene Escherichia coli;category;A04;Y
A04.1;Darminfektion durch enterotoxinbildende Escherichia coli;category;A04;Y
A04.2;Darminfektion durch enteroinvasive Escherichia coli;category;A04;Y
A04.3;Darminfektion durch enterohämorrhagische Escherichia coli;category;A04;Y
A04.4;Sonstige Darminfektionen durch Escherichia coli;category;A04;Y
A04.5;Enteritis durch Campylobacter;category;A04;Y
A04.6;Enteritis durch Yersinia enterocolitica;category;A04;Y
A04.7;Enterokolitis durch Clostridium difficile;category;A04;N
A04.70;Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen;category;A04.7;Y
A04.71;Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen;category;A04.7;Y
A04.72;Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen;category;A04.7;Y
A04.73;Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen;category;A04.7;Y
A04.79;Enterokolitis durch Clostridium difficile, nicht näher bezeichnet;category;A04.7;Y
A04.8;Sonstige näher bezeichnete bakterielle Darminfektionen;category;A04;Y
A04.9;Bakterielle Darminfektion, nicht näher bezeichnet;category;A04;Y
A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;category;A00-A09;N
A05.0;Lebensmittelvergiftung durch Staphylokokken;category;A05;Y
A05.1;Botulismus;category;A05;Y
A05.2;Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii];category;A05;Y
A05.3;Lebensmittelvergiftung durch Vibrio parahaemolyticus;category;A05;Y
A05.4;Lebensmittelvergiftung durch Bacillus cereus;category;A05;Y
A05.8;Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen;category;A05;Y
A05.9;Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet;category;A05;Y
A06;Amöbiasis;category;A00-A09;N
A06.0;Akute Amöbenruhr;category;A06;Y
A06.1;Chronische intestinale Amöbiasis;category;A06;Y
A06.2;Nichtdysenterische Kolitis durch Amöben;category;A06;Y
A06.3;Amöbom des Darmes;category;A06;Y
A06.4;Leberabszess durch AmöbenK77.0;category;A06;Y
A06.5;Lungenabszess durch Amöben;category;A06;Y
A06.6;Hirnabszess durch AmöbenG07;category;A06;Y
A06.7;Amöbiasis der Haut;category;A06;Y
A06.8;Amöbeninfektion an sonstigen Lokalisationen;category;A06;Y
A06.9;Amöbiasis, nicht näher bezeichnet;category;A06;Y
A07;Sonstige Darmkrankheiten durch Protozoen;category;A00-A09;N
A07.0;Balantidiose;category;A07;Y
A07.1;Giardiasis [Lambliasis];category;A07;Y
A07.2;Kryptosporidiose;category;A07;Y
A07.3;Isosporose;category;A07;Y
A07.8;Sonstige näher bezeichnete Darmkrankheiten durch Protozoen;category;A07;Y
A07.9;Darmkrankheit durch Protozoen, nicht näher bezeichnet;category;A07;Y
A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen;category;A00-A09;N
A08.0;Enteritis durch Rotaviren;category;A08;Y
A08.1;Akute Gastroenteritis durch Norovirus;category;A08;Y
A08.2;Enteritis durch Adenoviren;category;A08;Y
A08.3;Enteritis durch sonstige Viren;category;A08;Y
A08.4;Virusbedingte Darminfektion, nicht näher bezeichnet;category;A08;Y
A08.5;Sonstige näher bezeichnete Darminfektionen;category;A08;Y
A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;category;A00-A09;N
A09.0;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs;category;A09;Y
A09.9;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs;category;A09;Y
A15-A19;Tuberkulose;block;I;N
A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15-A19;N
A15.0;Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren;category;A15;Y
A15.1;Lungentuberkulose, nur durch Kultur gesichert;category;A15;Y
A15.2;Lungentuberkulose, histologisch gesichert;category;A15;Y
A15.3;Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert;category;A15;Y
A15.4;Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15;Y
A15.5;Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15;Y
A15.6;Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15;Y
A15.7;Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15;Y
A15.8;Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15;Y
A15.9;Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;category;A15;Y
A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;category;A15-A19;N
A16.0;Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;category;A16;Y
A16.1;Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt;category;A16;Y
A16.2;Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A16.3;Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A16.4;Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A16.5;Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A16.7;Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A16.8;Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A16.9;Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;category;A16;Y
A17;Tuberkulose des Nervensystems;category;A15-A19;N
A17.0;Tuberkulöse MeningitisG01;category;A17;Y
A17.1;Meningeales TuberkulomG07;category;A17;Y
A17.8;Sonstige Tuberkulose des Nervensystems;category;A17;Y
A17.9;Tuberkulose des Nervensystems, nicht näher bezeichnetG99.8;category;A17;Y
A18;Tuberkulose sonstiger Organe;category;A15-A19;N
A18.0;Tuberkulose der Knochen und Gelenke;category;A18;Y
A18.1;Tuberkulose des Urogenitalsystems;category;A18;Y
A18.2;Tuberkulose peripherer Lymphknoten;category;A18;Y
A18.3;Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten;category;A18;Y
A18.4;Tuberkulose der Haut und des Unterhautgewebes;category;A18;Y
A18.5;Tuberkulose des Auges;category;A18;Y
A18.6;Tuberkulose des Ohres;category;A18;Y
A18.7;Tuberkulose der NebennierenE35.1;category;A18;Y
A18.8;Tuberkulose sonstiger näher bezeichneter Organe;category;A18;Y
A19;Miliartuberkulose;category;A15-A19;N
A19.0;Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation;category;A19;Y
A19.1;Akute Miliartuberkulose mehrerer Lokalisationen;category;A19;Y
A19.2;Akute Miliartuberkulose, nicht näher bezeichnet;category;A19;Y
A19.8;Sonstige Miliartuberkulose;category;A19;Y
A19.9;Miliartuberkulose, nicht näher bezeichnet;category;A19;Y
A20-A28;Bestimmte bakterielle Zoonosen;block;I;N
A20;Pest;category;A20-A28;N
A20.0;Bubonenpest;category;A20;Y
A20.1;Hautpest;category;A20;Y
A20.2;Lungenpest;category;A20;Y
A20.3;Pestmeningitis;category;A20;Y
A20.7;Pestsepsis;category;A20;Y
A20.8;Sonstige Formen der Pest;category;A20;Y
A20.9;Pest, nicht näher bezeichnet;category;A20;Y
A21;Tularämie;category;A20-A28;N
A21.0;Ulzeroglanduläre Tularämie;category;A21;Y
A21.1;Okuloglanduläre Tularämie;category;A21;Y
A21.2;Pulmonale Tularämie;category;A21;Y
A21.3;Gastrointestinale Tularämie;category;A21;Y
A21.7;Generalisierte Tularämie;category;A21;Y
A21.8;Sonstige Formen der Tularämie;category;A21;Y
A21.9;Tularämie, nicht näher bezeichnet;category;A21;Y
A22;Anthrax [Milzbrand];category;A20-A28;N
A22.0;Hautmilzbrand;category;A22;Y
A22.1;Lungenmilzbrand;category;A22;Y
A22.2;Darmmilzbrand;category;A22;Y
A22.7;Milzbrandsepsis;category;A22;Y
A22.8;Sonstige Formen des Milzbrandes;category;A22;Y
A22.9;Milzbrand, nicht näher bezeichnet;category;A22;Y
A23;Brucellose;category;A20-A28;N
A23.0;Brucellose durch Brucella melitensis;category;A23;Y
A23.1;Brucellose durch Brucella abortus;category;A23;Y
A23.2;Brucellose durch Brucella suis;category;A23;Y
A23.3;Brucellose durch Brucella canis;category;A23;Y
A23.8;Sonstige Brucellose;category;A23;Y
A23.9;Brucellose, nicht näher bezeichnet;category;A23;Y
A24;Rotz [Malleus] und Melioidose [Pseudorotz];category;A20-A28;N
A24.0;Rotz;category;A24;Y
A24.1;Akute oder fulminante Melioidose;category;A24;Y
A24.2;Subakute oder chronische Melioidose;category;A24;Y
A24.3;Sonstige Melioidose;category;A24;Y
A24.4;Melioidose, nicht näher bezeichnet;category;A24;Y
A25;Rattenbisskrankheiten;category;A20-A28;N
A25.0;Spirillen-Rattenbisskrankheit;category;A25;Y
A25.1;Streptobazillen-Rattenbisskrankheit;category;A25;Y
A25.9;Rattenbisskrankheit, nicht näher bezeichnet;category;A25;Y
A26;Erysipeloid;category;A20-A28;N
A26.0;Haut-Erysipeloid;category;A26;Y
A26.7;Erysipelothrix-Sepsis;category;A26;Y
A26.8;Sonstige Formen des Erysipeloids;category;A26;Y
A26.9;Erysipeloid, nicht näher bezeichnet;category;A26;Y
A27;Leptospirose;category;A20-A28;N
A27.0;Leptospirosis icterohaemorrhagica [Weil-Krankheit];category;A27;Y
A27.8;Sonstige Formen der Leptospirose;category;A27;Y
A27.9;Leptospirose, nicht näher bezeichnet;category;A27;Y
A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert;category;A20-A28;N
A28.0;Pasteurellose;category;A28;Y
A28.1;Katzenkratzkrankheit;category;A28;Y
A28.2;Extraintestinale Yersiniose;category;A28;Y
A28.8;Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert;category;A28;Y
A28.9;Bakterielle Zoonose, nicht näher bezeichnet;category;A28;Y
A30-A49;Sonstige bakterielle Krankheiten;block;I;N
A30;Lepra [Aussatz];category;A30-A49;N
A30.0;Indeterminierte Lepra;category;A30;Y
A30.1;Tuberkuloide Lepra;category;A30;Y
A30.2;Borderline-tuberkuloide Lepra;category;A30;Y
A30.3;Borderline-Lepra;category;A30;Y
A30.4;Borderline-lepromatöse Lepra;category;A30;Y
A30.5;Lepromatöse Lepra;category;A30;Y
A30.8;Sonstige Formen der Lepra;category;A30;Y
A30.9;Lepra, nicht näher bezeichnet;category;A30;Y
A31;Infektion durch sonstige Mykobakterien;category;A30-A49;N
A31.0;Infektion der Lunge durch sonstige Mykobakterien;category;A31;Y
A31.1;Infektion der Haut durch sonstige Mykobakterien;category;A31;Y
A31.8;Sonstige Infektionen durch Mykobakterien;category;A31;N
A31.80;Disseminierte atypische Mykobakteriose;category;A31.8;Y
A31.88;Sonstige Infektionen durch Mykobakterien;category;A31.8;Y
A31.9;Infektion durch Mykobakterien, nicht näher bezeichnet;category;A31;Y
A32;Listeriose;category;A30-A49;N
A32.0;Kutane Listeriose;category;A32;Y
A32.1;Meningitis und Meningoenzephalitis durch Listerien;category;A32;Y
A32.7;Listeriensepsis;category;A32;Y
A32.8;Sonstige Formen der Listeriose;category;A32;Y
A32.9;Listeriose, nicht näher bezeichnet;category;A32;Y
A33;Tetanus neonatorum;category;A30-A49;Y
A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes;category;A30-A49;Y
A35;Sonstiger Tetanus;category;A30-A49;Y
A36;Diphtherie;category;A30-A49;N
A36.0;Rachendiphtherie;category;A36;Y
A36.1;Nasenrachendiphtherie;category;A36;Y
A36.2;Kehlkopfdiphtherie;category;A36;Y
A36.3;Hautdiphtherie;category;A36;Y
A36.8;Sonstige Diphtherie;category;A36;Y
A36.9;Diphtherie, nicht näher bezeichnet;category;A36;Y
A37;Keuchhusten;category;A30-A49;N
A37.0;Keuchhusten durch Bordetella pertussis;category;A37;Y
A37.1;Keuchhusten durch Bordetella parapertussis;category;A37;Y
A37.8;Keuchhusten durch sonstige Bordetella-Spezies;category;A37;Y
A37.9;Keuchhusten, nicht näher bezeichnet;category;A37;Y
A38;Scharlach;category;A30-A49;Y
A39;Meningokokkeninfektion;category;A30-A49;N
A39.0;MeningokokkenmeningitisG01;category;A39;Y
A39.1;Waterhouse-Friderichsen-SyndromE35.1;category;A39;Y
A39.2;Akute Meningokokkensepsis;category;A39;Y
A39.3;Chronische Meningokokkensepsis;category;A39;Y
A39.4;Meningokokkensepsis, nicht näher bezeichnet;category;A39;Y
A39.5;Herzkrankheit durch Meningokokken;category;A39;Y
A39.8;Sonstige Meningokokkeninfektionen;category;A39;Y
A39.9;Meningokokkeninfektion, nicht näher bezeichnet;category;A39;Y
A40;Streptokokkensepsis;category;A30-A49;N
